availability,currency,description,url,name,image_url,price,id,company
out of stock,INR,"Stay comfortable and stylish with our all-new Dry-Fit T-shirt during your workouts and everyday activities. Crafted from high-quality moisture-wicking fabric, it is designed to keep you cool and dry even during the most intense activities. Whether you are hitting the gym, going for a run, or lifting heavy weights, this t-shirt will be a perfect fit for all active individuals.",http://2xnutrition.com/products/dry-fit-mens-t-shirt?utm_content=Facebook_UA&utm_source=facebook&variant=44236890669113,Dry-Fit Men's T-shirt,https://cdn.shopify.com/s/files/1/0697/0408/9657/files/IMG_0192_TIF_1080x1080_pad_ffffff.jpg.jpg?v=1737357449,"₹1,099.00",9080645568637375,
in stock,INR,"ISOMAGIC

Elevate Your Fitness Goals with IsoMagic - The Ultimate Whey Protein Isolate

Unleash your full potential with IsoMagic, a premium-quality whey protein isolate blend by 2X Nutrition, designed specifically for fitness enthusiasts seeking optimal results.

Why Choose IsoMagic?

	*

High Protein Content: Each 33g serving delivers a whopping 27g of protein, ensuring your muscles get the nourishment they need to grow and recover.
	*

Low in Fat and Carbs: With only 0.7g of fat and 3g of carbs per serving, IsoMagic is perfect for those aiming to maintain a lean physique.
	*

Added Recovery Formula: Infused with L-Glutamine and BCAAs, IsoMagic enhances muscle recovery, reduces soreness, and boosts overall workout performance.

Available Flavours:

Indulge your taste buds with two irresistible options:

	*

Belgian Chocolate: For a rich, creamy treat.
	*

Pineapple: A refreshing twist to your daily protein intake.

Packaging Options:

Choose the size that suits your fitness journey:

	*

1kg ( updated)
	*

2kg

Why IsoMagic Stands Out:

Whether you're looking for the best whey protein powder in India, a high-quality whey protein isolate, or a versatile option in 1kg and 2kg packs, IsoMagic is your go-to choice. The scientifically crafted formula not only supports muscle building but also aids in faster recovery and enhanced performance during intense workout sessions.",http://2xnutrition.com/products/isomagic?utm_content=Facebook_UA&utm_source=facebook&variant=44227865870393,"IsoMagic, Premium Whey Isolate Blend (Belgian Chocolate-1kg)",https://cdn.shopify.com/s/files/1/0697/0408/9657/files/01_4f540562-d61c-4305-8910-3c2c82951b7f_1080x1080_pad_ffffff.jpg.jpg?v=1737470218,"₹4,499.00",9047581998669325,
in stock,INR,"Our premium Whey-Based High-Protein Mass Gainer, RealGainz is expertly formulated to fuel your muscle mass-gaining goals. Unlike many mass gainers, it is free from maltodextrin, ensuring a cleaner and healthier bulk.

Packed with a perfect 1:3 ratio of protein (26g) to carbohydrates (78g) per serving, it leverages high-quality whey protein and cereal-based complex carbs to provide sustained energy and muscle repair.

It is infused with a comprehensive multivitamin blend and added probiotics to boost overall wellness and digestion. These enhance nutrient absorption and gut health, ensuring you get the most out of every scoop.

A unique inclusion of digestive enzymes further aids in breaking down nutrients, making RealGainz easy on your stomach and efficient in delivering essential nutrients to your muscles.

It is ideal for those committed to serious muscle mass growth and overall health.",http://2xnutrition.com/products/realgainz-kulfi-2kg?utm_content=Facebook_UA&utm_source=facebook&variant=44231802912825,"RealGainz, No Maltodextrin Mass Gainer (Kulfi- 2kg)",https://cdn.shopify.com/s/files/1/0697/0408/9657/files/01_1919f98e-efe2-4757-b5ce-07f86d1b78fc_1080x1080_pad_ffffff.jpg.jpg?v=1733480129,"₹3,899.00",9031233406931944,
in stock,INR,"ISOMAGIC

Elevate Your Fitness Goals with IsoMagic - The Ultimate Whey Protein Isolate

Unleash your full potential with IsoMagic, a premium-quality whey protein isolate blend by 2X Nutrition, designed specifically for fitness enthusiasts seeking optimal results.

Why Choose IsoMagic?

	*

High Protein Content: Each 33g serving delivers a whopping 27g of protein, ensuring your muscles get the nourishment they need to grow and recover.
	*

Low in Fat and Carbs: With only 0.7g of fat and 3g of carbs per serving, IsoMagic is perfect for those aiming to maintain a lean physique.
	*

Added Recovery Formula: Infused with L-Glutamine and BCAAs, IsoMagic enhances muscle recovery, reduces soreness, and boosts overall workout performance.

Available Flavours:

Indulge your taste buds with two irresistible options:

	*

Belgian Chocolate: For a rich, creamy treat.
	*

Pineapple: A refreshing twist to your daily protein intake.

Packaging Options:

Choose the size that suits your fitness journey:

	*

1kg ( updated)
	*

2kg

Why IsoMagic Stands Out:

Whether you're looking for the best whey protein powder in India, a high-quality whey protein isolate, or a versatile option in 1kg and 2kg packs, IsoMagic is your go-to choice. The scientifically crafted formula not only supports muscle building but also aids in faster recovery and enhanced performance during intense workout sessions.",http://2xnutrition.com/products/isomagic-1kg?utm_content=Facebook_UA&utm_source=facebook&variant=44231674232889,"IsoMagic, Premium Whey Isolate Blend (Pineapple-1kg)",https://cdn.shopify.com/s/files/1/0697/0408/9657/files/01_b45c67c4-a83b-45c2-aa3d-900aded66788_1080x1080_pad_ffffff.jpg.jpg?v=1733479289,"₹4,499.00",9029220147168078,
out of stock,INR,"Elevate your fitness routine with our premium Mini Grenade Shaker. Designed to seamlessly integrate into your active lifestyle and to keep you hydrated throughout the day. This shaker is your perfect companion if you’re looking for optimal nutrition along with convenience. Crafted with high-quality materials, its sleek and leak-proof design ensures mess-free mixing, allowing you to prepare your protein shakes, smoothies, and supplements with ease.",http://2xnutrition.com/products/mini-grenade-shaker?utm_content=Facebook_UA&utm_source=facebook&variant=44199548059705,Mini Grenade Shaker,https://cdn.shopify.com/s/files/1/0697/0408/9657/files/1_1080x1080_pad_ffffff.jpg.jpg?v=1737389175,₹499.00,9011958032227126,
in stock,INR,"Power up your performance and accelerate your muscle growth with our Ultimate Gain & Sustain Combo, featuring RealGainz and Powerhouse.

RealGainz is a premium and zero maltodextrin whey-based high-protein mass gainer, designed to fuel your muscle-building journey without compromising on quality. With 1:3 protein-to-carbohydrate ratio (26g protein and 78g carbs per serving), RealGainz provides sustained energy and enhanced lean muscle growth. Enriched with multivitamin blend, probiotics, and digestive enzymes, it supports overall wellness, digestion, and nutrient absorption.

Paired with 2X's PowerHouse, this duo delivers the stamina, energy, and focus you need to push harder in every session. PowerHouse’s potent blend of L-Arginine, Beta-Alanine, L-Glutamine, and BCAAs powers you up for peak performance, helping you sustain energy from start to finish.",http://2xnutrition.com/products/gain-sustain-combo-realgainzkulfi-powerhouse?utm_content=Facebook_UA&utm_source=facebook&variant=44194473967673,Gain & Sustain Combo - RealGainz(Kulfi) + PowerHouse,https://cdn.shopify.com/s/files/1/0697/0408/9657/files/01_088c6887-37ca-4882-99fb-a359d83e7032_1080x1080_pad_ffffff.jpg.jpg?v=1737357354,"₹7,198.00",8882818858504612,
in stock,INR,"Say goodbye to stubborn fat with our Natural Thermogenic Fat Burner, MetaBoost. Each capsule is designed as a powerful yet gentle formula to help you achieve your fat loss goals without compromising your well-being.
Made with 100% natural ingredients, MetaBoost is crafted to boost your metabolism and energy levels while shedding unwanted fat. Unlike other fat burners, MetaBoost is free from any side effects like heart palpitations or dizziness.

You’ll feel confident and in control, as it works to ignite your body’s natural fat-burning processes, helping you tackle even the most stubborn areas of fat.

Experience a noticeable boost in stamina and energy, keeping you active and focused throughout the day. Whether you’re powering through workouts or managing a busy lifestyle, MetaBoost will keep you performing",http://2xnutrition.com/products/metaboost?utm_content=Facebook_UA&utm_source=facebook&variant=44101126258745,"MetaBoost, Natural & Thermogenic Fat Loss Supplement",https://cdn.shopify.com/s/files/1/0697/0408/9657/files/01_1080x1080_pad_ffffff.jpg.jpg?v=1732859045,"₹1,899.00",8695024270605859,
out of stock,INR,"Stay comfortable and stylish with our all-new Dry-Fit T-shirt during your workouts and everyday activities. Crafted from high-quality moisture-wicking fabric, it is designed to keep you cool and dry even during the most intense activities. Whether you are hitting the gym, going for a run, or lifting heavy weights, this t-shirt will be a perfect fit for all active individuals.",http://2xnutrition.com/products/dry-fit-mens-t-shirt?utm_content=Facebook_UA&utm_source=facebook&variant=44199586234425,Dry-Fit Men's T-shirt,https://cdn.shopify.com/s/files/1/0697/0408/9657/files/IMG_0198_TIF_1080x1080_pad_ffffff.jpg.jpg?v=1737357449,"₹1,099.00",7342365999220636,
in stock,INR,"Our premium Whey-Based High-Protein Mass Gainer, RealGainz is expertly formulated to fuel your muscle mass-gaining goals. Unlike many mass gainers, it is free from maltodextrin, ensuring a cleaner and healthier bulk.

Packed with a perfect 1:3 ratio of protein (26g) to carbohydrates (78g) per serving, it leverages high-quality whey protein and cereal-based complex carbs to provide sustained energy and muscle repair.

It is infused with a comprehensive multivitamin blend and added probiotics to boost overall wellness and digestion. These enhance nutrient absorption and gut health, ensuring you get the most out of every scoop.

A unique inclusion of digestive enzymes further aids in breaking down nutrients, making RealGainz easy on your stomach and efficient in delivering essential nutrients to your muscles.

It is ideal for those committed to serious muscle mass growth and overall health.",http://2xnutrition.com/products/realgainz-belgian-chocolate-1kg?utm_content=Facebook_UA&utm_source=facebook&variant=44120353112121,"RealGainz, No Maltodextrin Mass Gainer (Belgian Chocolate- 1kg)",https://cdn.shopify.com/s/files/1/0697/0408/9657/files/01_096b5b68-89e2-4848-a0c4-97db97b8c768_1080x1080_pad_ffffff.jpg.jpg?v=1733480140,"₹2,199.00",9712606005433700,
in stock,INR,"Fuel your workout sessions with our PowerHouse, a high-performance pre-workout, designed to power through intense workouts with enhanced energy and focus. Perfectly dosed with 200mg of Caffeine, it provides a clean energy boost without the jitters/itching or redness so you can train harder and longer with confidence.

Packed with BCAA and L-Glutamine, PowerHouse energizes and protects your muscles, supporting faster recovery and reducing muscle breakdown during even the toughest sessions.

PowerHouse also enhances your focus, keeping you locked in and ready to tackle every rep, every set, and every challenge. Whether lifting, running, or pushing your limits in any sport, this pre-workout is your ultimate workout companion.",http://2xnutrition.com/products/powerhouse?utm_content=Facebook_UA&utm_source=facebook&variant=44101126225977,"PowerHouse, High-performance Pre-workout",https://cdn.shopify.com/s/files/1/0697/0408/9657/files/01_bfdaa2da-0c49-40a8-b169-656d903fa1dd_1080x1080_pad_ffffff.jpg.jpg?v=1733320211,"₹3,299.00",9623832114308214,
in stock,INR,"Our premium Whey-Based High-Protein Mass Gainer, RealGainz is expertly formulated to fuel your muscle mass-gaining goals. Unlike many mass gainers, it is free from maltodextrin, ensuring a cleaner and healthier bulk.

Packed with a perfect 1:3 ratio of protein (26g) to carbohydrates (78g) per serving, it leverages high-quality whey protein and cereal-based complex carbs to provide sustained energy and muscle repair.

It is infused with a comprehensive multivitamin blend and added probiotics to boost overall wellness and digestion. These enhance nutrient absorption and gut health, ensuring you get the most out of every scoop.

A unique inclusion of digestive enzymes further aids in breaking down nutrients, making RealGainz easy on your stomach and efficient in delivering essential nutrients to your muscles.

It is ideal for those committed to serious muscle mass growth and overall health.",http://2xnutrition.com/products/realgainz-belgian-chocolate-2kg?utm_content=Facebook_UA&utm_source=facebook&variant=44231801339961,"RealGainz, No Maltodextrin Mass Gainer (Belgian Chocolate- 2kg)",https://cdn.shopify.com/s/files/1/0697/0408/9657/files/01_1e2c50d2-e7ea-4f52-9cb8-64fcf697e651_1080x1080_pad_ffffff.jpg.jpg?v=1733480197,"₹3,899.00",9583986371634835,
in stock,INR,"Elevate your muscle building journey with our dynamic Muscle Max combo of IsoMagic & Creatine. Designed for fitness enthusiasts who are committed to building muscles, enhancing strength and maximize recovery.

IsoMagic delivers approx. 27 g protein/33 g serving with minimal fats and low carbs. Enhanced with added recovery formula it stands as a result-driven choice for lean muscle growth and recovery.

Complementing IsoMagic, our Creatine offers 100% pure & micronized creatine monohydrate formula. Each 3g scoop fuels muscles during intense workout enhancing strength and power.

Creatine becomes more effective when paired with IsoMagic post-workout, as exercise-induced muscle fatigue boosts creatine uptake. IsoMagic helps replenish amino acids, accelerating muscle repair, while insulin response from protein enhances creatine absorption. This Muscle Max Combo maximizes muscle recovery, strength, and growth, making it an ideal post-workout combination.",http://2xnutrition.com/products/muscle-max-combo-isomagicbelgian-1-kg-creatine-monohydrate?utm_content=Facebook_UA&utm_source=facebook&variant=44194474229817,Muscle Max Combo - IsoMagic(Belgian 1 Kg) + Creatine Monohydrate,https://cdn.shopify.com/s/files/1/0697/0408/9657/files/3sGct_01_1080x1080_pad_ffffff.jpg.jpg?v=1736230409,"₹5,248.00",9398439276908848,
in stock,INR,"Unleash your full workout potential with our Ultimate Power Combo of IsoMagic and PowerHouse. This combo brings together essential muscle-building protein and energy enhancing nutrients giving you the edge to conquer every workout session.

IsoMagic delivers approx. 27 g protein/33 g serving with minimal fats and low carbs. Enhanced with added recovery formula it stands as a result-driven choice for lean muscle growth and recovery.

PowerHouse (15 g per serving) is a non-jittery formula, packed with muscle saver ingredients like BCAA, L-glutamine, etc. to maximize energy, stamina and performance. PowerHouse goes beyond mere energy boost, providing you with sustained energy from the first rep till the last.",http://2xnutrition.com/products/ultimate-power-combo-isomagicbelgian-chocolate-powerhouse?utm_content=Facebook_UA&utm_source=facebook&variant=44194472853561,Ultimate Power Combo - IsoMagic(Belgian Chocolate) + PowerHouse,https://cdn.shopify.com/s/files/1/0697/0408/9657/files/01_bd63c55b-1c56-4537-b10f-f51a60f3df74_1080x1080_pad_ffffff.jpg.jpg?v=1737356859,"₹11,598.00",9277566708932671,
in stock,INR,"ISOMAGIC

Elevate Your Fitness Goals with IsoMagic - The Ultimate Whey Protein Isolate

Unleash your full potential with IsoMagic, a premium-quality whey protein isolate blend by 2X Nutrition, designed specifically for fitness enthusiasts seeking optimal results.

Why Choose IsoMagic?

	*

High Protein Content: Each 33g serving delivers a whopping 27g of protein, ensuring your muscles get the nourishment they need to grow and recover.
	*

Low in Fat and Carbs: With only 0.7g of fat and 3g of carbs per serving, IsoMagic is perfect for those aiming to maintain a lean physique.
	*

Added Recovery Formula: Infused with L-Glutamine and BCAAs, IsoMagic enhances muscle recovery, reduces soreness, and boosts overall workout performance.

Available Flavours:

Indulge your taste buds with two irresistible options:

	*

Belgian Chocolate: For a rich, creamy treat.
	*

Pineapple: A refreshing twist to your daily protein intake.

Packaging Options:

Choose the size that suits your fitness journey:

	*

1kg ( updated)
	*

2kg

Why IsoMagic Stands Out:

Whether you're looking for the best whey protein powder in India, a high-quality whey protein isolate, or a versatile option in 1kg and 2kg packs, IsoMagic is your go-to choice. The scientifically crafted formula not only supports muscle building but also aids in faster recovery and enhanced performance during intense workout sessions.",http://2xnutrition.com/products/isomagic-pineapple-2kg?utm_content=Facebook_UA&utm_source=facebook&variant=44119924736057,"IsoMagic, Premium Whey Isolate Blend (Pineapple-2kg)",https://cdn.shopify.com/s/files/1/0697/0408/9657/files/01_2589c196-6746-4ff8-b048-610cc93689f1_1080x1080_pad_ffffff.jpg.jpg?v=1733479295,"₹8,299.00",9241343632599169,
in stock,INR,"Power up your performance and accelerate your muscle growth with our Ultimate Gain & Sustain Combo, featuring RealGainz and Powerhouse.

RealGainz is a premium and zero maltodextrin whey-based high-protein mass gainer, designed to fuel your muscle-building journey without compromising on quality. With 1:3 protein-to-carbohydrate ratio (26g protein and 78g carbs per serving), RealGainz provides sustained energy and enhanced lean muscle growth. Enriched with multivitamin blend, probiotics, and digestive enzymes, it supports overall wellness, digestion, and nutrient absorption.

Paired with 2X's PowerHouse, this duo delivers the stamina, energy, and focus you need to push harder in every session. PowerHouse’s potent blend of L-Arginine, Beta-Alanine, L-Glutamine, and BCAAs powers you up for peak performance, helping you sustain energy from start to finish.",http://2xnutrition.com/products/gain-sustain-combo-realgainzbelgian-chocolate-powerhouse?utm_content=Facebook_UA&utm_source=facebook&variant=44194473312313,Gain & Sustain Combo - RealGainz(Belgian Chocolate) + PowerHouse,https://cdn.shopify.com/s/files/1/0697/0408/9657/files/01_3898dd1b-110a-4615-bd69-8a0343572bb5_1080x1080_pad_ffffff.jpg.jpg?v=1737357328,"₹7,198.00",9121336031279186,
,,,,,,,,2xNutrition
,,,,,,,,https://2xnutrition.com
,,,,,,,,"2xNutrition delivers premium, science-backed supplements for health and fitness, ensuring transparency and expert formulations to help customers reach their full potential."
,,,,,,,,"{'email': 'support@2xnutrition.com', 'address': 'AVENUE 71, T8-00/02, Sohna Road, Gurgaon, Haryana, 122101, India'}"
,,,,,,,,{'instagram': 'https://instagram.com/2xnutrition'}
,,,,,,,,"{'policy': 'Free shipping on prepaid orders. Ships across India with COD available.', 'details': 'Check 2xnutrition.com for more details.'}"
,,,,,,,,"{'description': '2X Nutrition delivers premium, science-backed supplements for health and fitness, ensuring transparency and expert formulations. Elevate your fitness today!', 'mission': 'To provide consumers with high-quality supplements that help support their health, fitness, and wellness goals.', 'founder': 'Yatinder Singh', 'industry_experience': '24+ years in the fitness industry', 'certifications': 'Test Certificates from FSSAI-Approved labs to evidence nutritional profiling claims'}"
,,,,,,,,"{'summary': 'While a specific privacy policy page is not detailed in the search results, 2X Nutrition likely adheres to standard e-commerce privacy practices. They would collect personal information (e.g., name, email, shipping address) for order processing and may use it for internal records and promotional emails. Check the website footer for an updated privacy policy link.', 'data_use': 'Likely used for order fulfillment, customer service, and marketing (with opt-out options).', 'data_protection': 'Assumed to comply with applicable laws, ensuring customer data is securely stored.'}"
,,,,,,,,"{'summary': 'Specific terms of service are not detailed in the search results. Typical e-commerce terms would apply, including conditions for purchases, use of the site, and limitations of liability. Check the website for a dedicated Terms & Conditions page.', 'key_points': ['Products are sold as supplements, not medicinal substitutes.', 'Availability of products may change without notice.', 'Users are responsible for ensuring product suitability.']}"
,,,,,,,,"{'summary': 'A specific refund policy is not outlined in the search results. Based on industry standards and partial data from FAQ-like pages, returns may be accepted under certain conditions.', 'conditions': ['Likely within a set period (e.g., 30 days) if unopened or defective.', 'Proof of purchase required.', 'Refunds or exchanges subject to inspection.'], 'contact': 'Email support@2xnutrition.com for refund inquiries.'}"
,,,,,,,,"{'summary': 'Shipping details are partially available from product pages. Full policy likely detailed at checkout or on a dedicated shipping page.', 'key_points': ['Tax included; shipping calculated at checkout.', 'Delivery available to all cities across India.', 'Processing time: Typically 2-5 business days (assumed based on industry norms).', 'International shipping: Availability not confirmed; contact support for details.']}"
,,,,,,,,"{'recommendations': [{'product': '2X Nutrition Mass Gainer', 'description': 'Designed to provide a high-calorie intake with a balanced ratio of macronutrients and micronutrients to support muscle growth and weight gain.'}, {'product': '2X Nutrition Whey Protein', 'description': 'A protein-rich supplement to aid muscle recovery and growth, ideal when paired with a calorie-surplus diet.'}], 'note': ""Specific product names are inferred; check the 'Collections' or 'Weight Gainers' section on 2xnutrition.com for exact offerings.""}"
,,,,,,,,"{'recommendations': [{'product': '2X Nutrition MetaBoost (Thermogenic Fat Burner)', 'description': 'A fat-burning capsule formulated to boost metabolism and support weight loss without side effects.'}, {'product': '2X Nutrition Whey Protein (Low-Carb Variant)', 'description': 'Supports muscle maintenance while keeping calorie intake low, aiding fat loss in a calorie-deficit diet.'}], 'note': ""Verify availability and variants on the 'Weight Loss Supplements' section of 2xnutrition.com.""}"
,,,,,,,,"{'disclaimer': '2X Nutrition does not guarantee the absence of allergic reactions due to individual sensitivities. Ingredients are listed on product pages and packaging.', 'precaution': 'Customers should review ingredient lists for allergens (e.g., dairy, nuts, gluten) and consult a physician if unsure.', 'action': 'In case of a reaction, discontinue use and contact support@2xnutrition.com with batch details for investigation.'}"
,,,,,,,,"{'summary': 'Founded by Yatinder Singh, 2X Nutrition emerged from a vision to bridge nutritional gaps with transparent, science-backed supplements. After over two decades in the fitness industry, Singh identified a lack of authenticity in the market and aimed to create trustworthy products that exceed expectations.', ' ethos': 'Embracing science over gimmicks, 2X Nutrition focuses on efficient formulations to deliver real results, breaking stereotypes about synthetic ingredients.'}"
